fullVisitorId,visitId,visitStartTime,date,source,deviceCategory,country,pageviews,bounces,transactions,transactionRevenue
0509972280802528263,1501621191,1501621191,20170801,(direct),desktop,United States,5,,1,35290000
7771285007340524144,1501612542,1501612542,20170801,(direct),desktop,United States,11,,1,27430000
4417987816137194149,1501599317,1501599317,20170801,(direct),desktop,United States,14,,1,1990000
5835011534221003810,1501620679,1501620679,20170801,(direct),desktop,United States,14,,1,13290000
024507252193437459,1501595478,1501595478,20170801,mail.google.com,desktop,United States,16,,1,11960000
1311003026247678016,1501623509,1501623509,20170801,(direct),desktop,United States,14,,1,33500000
454845221896711463,1501608216,1501608216,20170801,(direct),desktop,United States,13,,1,200000000
8730493892218660083,1501625561,1501625561,20170801,(direct),desktop,United States,16,,1,45670000
1685335291483410828,1501613798,1501613798,20170801,(direct),mobile,Finland,18,,1,2990000
9591202457292182670,1501605135,1501605135,20170801,(direct),desktop,United States,18,,1,28790000
1996186587769697436,1501599524,1501599524,20170801,(direct),desktop,United States,15,,1,43640000
698297406423033664,1501615059,1501615059,20170801,(direct),desktop,United States,16,,1,55000000
0815047945706399620,1501612980,1501612980,20170801,(direct),desktop,United States,16,,1,48770000
4871061239735971842,1501604340,1501604340,20170801,(direct),desktop,United States,18,,1,347140000
7311242886083854158,1501623886,1501623886,20170801,(direct),desktop,United States,17,,1,982730000
0377506370870345639,1501608387,1501608387,20170801,(direct),desktop,United States,24,,1,44000000
3891707253957252733,1501608622,1501608622,20170801,(direct),desktop,United States,20,,1,22400000
7420300501523012460,1501640730,1501640730,20170801,(direct),desktop,United States,21,,1,169900000
654736404761929369,1501608543,1501608543,20170801,(direct),desktop,United States,22,,1,26000000
3614707430894059857,1501625621,1501625621,20170801,(direct),desktop,United States,20,,1,82480000
5371617068925994598,1501631449,1501631449,20170801,(direct),desktop,United States,23,,1,234530000
1255368394012652243,1501600612,1501600612,20170801,(direct),desktop,United States,20,,1,67190000
2008785002910996057,1501614663,1501614663,20170801,(direct),desktop,United States,20,,1,157140000
2284555599203977570,1501605244,1501605244,20170801,(direct),desktop,United States,23,,1,48220000
8841197329105123740,1501620486,1501620486,20170801,(direct),desktop,United States,25,,1,46540000
03717831825503026,1501641303,1501641303,20170801,(direct),mobile,United States,29,,1,13290000
6403816382362616234,1501609268,1501609268,20170801,(direct),desktop,United States,31,,1,135070000
9800325346437826374,1501641559,1501641559,20170801,(direct),desktop,United States,27,,1,29580000
8719058463049309640,1501602101,1501602101,20170801,(direct),desktop,United States,27,,1,313380000
8726813153683135107,1501597062,1501597062,20170801,(direct),desktop,United States,28,,1,44790000
0843143557737586340,1501614315,1501614315,20170801,(direct),desktop,United States,28,,1,30760000
0126612099954375841,1501606687,1501606687,20170801,(direct),desktop,United States,32,,1,1000780000
9008243837280281377,1501624252,1501624252,20170801,(direct),desktop,United States,34,,1,170390000
0188308435688462855,1501651868,1501651868,20170801,(direct),desktop,United States,40,,1,30790000
3424918216070852195,1501596661,1501596661,20170801,(direct),desktop,United States,43,,1,33310000
891256389600004515,1501646467,1501646467,20170801,(direct),desktop,United States,42,,1,144690000
351681171177883933,1501598702,1501598702,20170801,(direct),desktop,United States,45,,1,48000000
720378073621403524,1501603468,1501603468,20170801,(direct),desktop,United States,52,,1,40850000
5772921781547143127,1501628356,1501628356,20170801,(direct),desktop,United States,48,,2,126680000
3101662058536674321,1501647149,1501647149,20170801,(direct),desktop,United States,58,,1,4990000
9308310352918219134,1501608078,1501608078,20170801,(direct),desktop,United States,55,,1,2933610000
7420300501523012460,1501627131,1501627131,20170801,(direct),desktop,United States,112,,1,400210000
8016003971239765913,1501623575,1501623575,20170801,(direct),desktop,United States,106,,2,27180000
